model,response
llama-v3p1-70b-instruct,"Vodka, Russia, Smirnoff, Ice, Cocktail, Martini, Cosmopolitan, Lime, Party, Nightlife"
gpt-4o-mini,"vodka, cocktail, party, mix, drink, ice, smooth, premium, brand, Russia"
gemini-1.5-flash,"Smooth, vodka, ice, cocktail, party, classic, Russian, clear, chilled, refreshing"
claude-3-sonnet-20240229,"Vodka, Russia, clear, distilled, potatoes, premium, iconic, classic, party, mixers."
grok-beta,"Smirnoff, vodka, alcohol, drink, clear, bottle, shot, party, mixer, refreshing"
llama-v3p1-70b-instruct,"Vodka, Russia, Moscow, Mule, Lime, Lemon, Cosmopolitan, Martini, Citrus, Party"
gpt-4o-mini,"vodka, cocktail, orange, ice, party, smooth, refreshing, mixed, beverage, celebration"
gemini-1.5-flash,"Vodka, Russia, Smirnoff, Ice, Cocktails, Clear, Clean, Smooth, Party, Celebration"
claude-3-sonnet-20240229,"Vodka, Russian, clear, distilled, bottles, mixers, shots, parties, premium, iconic."
grok-beta,"ice, cool, clear, crisp, blue, fresh, lemon, lime, party, drink"
llama-v3p1-70b-instruct,"Russia, vodka, clear, cold, ice, martini, cocktail, party, Moscow, shot"
gpt-4o-mini,"vodka, drink, party, ice, mix, cocktails, Russian, clear, distilled, smooth"
gemini-1.5-flash,"Ice, vodka, party, clear, crisp, smooth, classic, Russia, cocktail, celebration"
claude-3-sonnet-20240229,"Vodka, Russia, distilled, potent, clear, bottle, iconic, mixer, party, celebration."
grok-beta,"alcohol, spirit, clear, cocktail, party, bottle, Russia, drink, lime, ice"
llama-v3p1-70b-instruct,"Russia, ice, cold, martini, cocktail, party, lime, triple, distilled, premium"
gpt-4o-mini,"Vodka, Spirits, Russia, Distillation, Cocktails, Ice, Parties, Mixers, Refreshing, Clear"
gemini-1.5-flash,"Ice, vodka, party, smooth, clear, bottle, classic, Russia, cocktail, bar"
claude-3-sonnet-20240229,"Smirnoff, vodka, Russia, clear, alcohol, party, mixers, iconic, influential, international."
grok-beta,"alcohol, drink, vodka, Russia, party, clear, smooth, cocktail, lime, martini"
llama-v3p1-70b-instruct,"Russia, vodka, ice, lime, party, cocktail, chilled, citrus, shot, Moscow"
gpt-4o-mini,"vodka, Russia, drink, party, cocktails, ice, flavor, distilled, spirits, mixers"
gemini-1.5-flash,"Vodka, Russia, ice, cocktail, lemon, lime, smooth, clean, clear, party"
claude-3-sonnet-20240229,"Smirnoff, vodka, Russia, iconic, classic, red, bottles, martini, alcohol, party."
grok-beta,"Smirnoff, vodka, Russia, ice, lemon, cocktail, martini, clear, party, alcohol"
llama-v3p1-70b-instruct,"Russia, vodka, clear, strong, drink, cocktail, martini, ice, chilled, citrus"
gpt-4o-mini,"Vodka, Russia, Distilled, Party, Mixer, Cocktails, Ice, Clear, Smooth, Chill"
gemini-1.5-flash,"Ice, vodka, clear, smooth, classic, party, cocktail, Russia, silver, bottle"
claude-3-sonnet-20240229,"Smirnoff, vodka, Russia, party, cocktails, mixer, ice, night out, bar, bottle."
grok-beta,"Smirnoff, Vodka, Alcohol, Russia, Lemon, Martini, Cocktail, Ice, Distilled, Clear"
llama-v3p1-70b-instruct,"Russia, Moscow, Mule, Cocktails, Martini, Party, Shots, Lime, Ice, Citrus"
gpt-4o-mini,"vodka, cocktail, party, premium, ice, mix, smooth, classic, flavor, chill"
gemini-1.5-flash,"Ice, vodka, classic, smooth, Russian, bottle, silver, cocktail, party, clean"
claude-3-sonnet-20240229,"Russia, clear, bottle, distilled, parties, cocktails, vodka tonic, martini, mixers, potent."
grok-beta,"Smirnoff, Vodka, Alcohol, Liquor, Party, Celebration, Cocktail, Mixer, Drink, Russia"
llama-v3p1-70b-instruct,"Russia, vodka, martini, cocktail, ice, chilled, shot, party, citrus, triple"
gpt-4o-mini,"vodka, drinks, cocktails, Ice, party, nightlife, Russia, distilled, crisp, smooth"
gemini-1.5-flash,"Clear,  smooth,  vodka,  cocktail,  classic,  icy,  martini,  Moscow Mule,  party,  celebrate"
claude-3-sonnet-20240229,"Alcohol, Russia, clear, party, mixer, lime, tonic, celebration, night, shots."
grok-beta,"alcohol, russia, vodka, clear, drink, party, ice, lime, mixer, shot"
llama-v3p1-70b-instruct,"Vodka, Russia, Martini, Cocktail, Party, Nightlife, Ice, Citrus, Lemon, Shot"
gpt-4o-mini,"vodka, cocktails, party, smooth, ice, shots, mixers, celebration, nightlife, premium"
gemini-1.5-flash,"Vodka, Russia, Ice, Clear, Smooth, Cocktails, Party, Celebration, Premium, Classic"
claude-3-sonnet-20240229,"Iconic, Russian, premium, smooth, triple-distilled, grain, classic, bar, cocktails, party."
grok-beta,"Smirnoff, vodka, clear, crisp, Russia, lemon, lime, martini, cocktail, shot"
llama-v3p1-70b-instruct,"Russia, vodka, party, drink, cocktail, shot, night, bar, Moscow, Mule"
gpt-4o-mini,"vodka, cocktail, ice, party, mix, premium, smooth, freedom, Russia, distilled"
gemini-1.5-flash,"Smooth, cold, clear, classic, crisp, refreshing, vodka, cocktail, party, celebration"
claude-3-sonnet-20240229,"Vodka, Russia, party, martini, mixers, smooth, clear, ice, bottles, premium."
grok-beta,"alcohol, vodka, russian, clear, distilled, cocktail, mix, party, ice, lime"
llama-v3p1-70b-instruct,"Russia, vodka, ice, cold, drink, party, cocktail, Moscow, mule, lime"
gpt-4o-mini,"vodka, drink, cocktails, mixer, party, ice, smooth, flavor, shots, brand"
gemini-1.5-flash,"Vodka, Russia, Smirnoff, Ice, Cocktail, Party, Clear, Smooth, Bottle, Alcohol"
claude-3-sonnet-20240229,"Vodka, Russia, clear, alcohol, party, martini, mixer, distilled, premium, iconic."
grok-beta,"vodka, clear, smooth, party, cocktail, lemon, ice, lime, cold, mixer"
llama-v3p1-70b-instruct,"Vodka, Russia, Ice, Party, Cocktails, Lemon, Lime, Moscow, Mule, Martini"
gpt-4o-mini,"vodka, alcohol, cocktail, party, smooth, ice, mixers, bar, distilled, beverage"
gemini-1.5-flash,"Vodka, Russia, Smirnoff, Ice, Cocktail, Party, Clean, Smooth, Premium, Classic"
claude-3-sonnet-20240229,"Iconic, Russian, premium, smooth, party, mixers, ice, celebration, classic, unforgettable."
grok-beta,"alcohol, russia, clear, ice, martini, cocktail, party, lemon, lime, bottle"
llama-v3p1-70b-instruct,"Russia, Moscow, Vodka, Cocktail, Martini, Lime, Triple, Distilled, Pure, Chill"
gpt-4o-mini,"vodka, Russia, spirits, cocktails, ice, smooth, drink, party, flavors, mix"
gemini-1.5-flash,"Ice, smooth, classic, Russian, vodka, cocktail, party, clear, bottle, lime"
claude-3-sonnet-20240229,"Russia, vodka, iconic, premium, heritage, distillery, grain, filtered, bottle, cocktails."
grok-beta,"alcohol, vodka, party, clear, drink, lime, twist, bottle, ice, cocktail"
llama-v3p1-70b-instruct,"Vodka, Russia, Ice, Party, Nightlife, Cocktails, Martini, Lime, Chilled, Premium"
gpt-4o-mini,"vodka, drink, cocktail, ice, party, smooth, celebration, mixology, Russia, premium"
gemini-1.5-flash,"Vodka, Russian, Smirnoff, Cocktail, Ice, Clear, Smooth, Party, Celebration, Alcohol"
claude-3-sonnet-20240229,"Alcohol, Russian, triple distilled, party, premium, cocktails, Moscow Mule, iconic, bartender, mixers."
grok-beta,"Smirnoff, vodka, bottle, lemon, lime, shot, cocktail, party, lime, glass"
llama-v3p1-70b-instruct,"Russia, Ice, Cold, Party, Vodka, Nightlife, Cocktails, Moscow, Mule, Lime"
gpt-4o-mini,"vodka, cocktail, party, nightlife, premium, mixology, ice, entertainment, refreshment, drink"
gemini-1.5-flash,"Vodka, Russia, Smirnoff, Ice, Cocktail, Party, Clear, Smooth, Premium, Classic"
claude-3-sonnet-20240229,"Russia, vodka, cocktail, party, premium, iconic, Moscow, Mule, strength, tradition."
grok-beta,"alcohol, Russia, clear, liquor, icy, lemon, lime, martini, mixer, party"
llama-v3p1-70b-instruct,"Vodka, Russia, Moscow, Mule, Lime, Citrus, Party, Nightlife, Cocktails, Pure"
gpt-4o-mini,"vodka, spirits, chilled, cocktails, nightlife, party, crisp, smooth, mixology, Russia"
gemini-1.5-flash,"Ice, vodka, lemon, party, smooth, classic, silver, Russian, cocktail, bar"
claude-3-sonnet-20240229,"Vodka, Russia, clear, party, mixers, ice, shots, bottle, liquor, brand."
grok-beta,"Smirnoff, vodka, alcohol, cocktail, lime, twist, lemon, ice, party, shot"
llama-v3p1-70b-instruct,"Russia, Moscow, Vodka, Ice, Party, Cocktails, Martini, Lemon, Lime, Triple"
gpt-4o-mini,"vodka, drink, cocktail, ice, party, mixer, premium, smooth, brand, Russia"
gemini-1.5-flash,"Vodka, Smirnoff, Russia, Ice, Cocktail, Clean, Smooth, Party, Classic, Premium"
claude-3-sonnet-20240229,"Vodka, Russia, party, cocktails, clear, distilled, premium, iconic, sophisticated, Russia."
grok-beta,"alcohol, bottle, clear, Russia, cocktail, lime, party, ice, shot, mixer"
llama-v3p1-70b-instruct,"Vodka, Russia, Smirnoff, Ice, Cocktail, Party, Nightlife, Lime, Moscow, Mule"
gpt-4o-mini,"vodka, cocktail, ice, party, mixer, celebration, distilled, refreshing, smooth, brand"
gemini-1.5-flash,"Ice, vodka, bottle, Russia, cocktail, smooth, classic, party, drink, alcohol"
claude-3-sonnet-20240229,"Smirnoff, vodka, Russia, party, clear, bottles, mixers, cocktails, bar, night."
grok-beta,"ice, lime, twist, crystal, clear, cosmopolitan, party, premium, bottle, club"
llama-v3p1-70b-instruct,"Vodka, Russia, Moscow, Mule, Martini, Lemon, Lime, Ice, Cocktail, Party"
gpt-4o-mini,"Vodka, Russia, Distillation, Smooth, Clear, Cocktails, Ice, Mixer, Celebration, Brand"
gemini-1.5-flash,"Smooth, icy, crisp, classic, Russian, vodka, cocktail, party, bar, lime"
claude-3-sonnet-20240229,"Vodka, Russia, distilled, clear, smooth, classic, nightlife, cocktails, party, shots."
grok-beta,"Smirnoff, vodka, Russia, ice, lime, cocktail, clear, crisp, party, martini"
llama-v3p1-70b-instruct,"Russia, vodka, spirits, alcohol, party, drink, cocktails, nightlife, Moscow, ice"
gpt-4o-mini,"vodka, cocktail, ice, clear, Russian, party, mixer, smooth, brand, bar"
gemini-1.5-flash,"Ice, vodka, classic, smooth, party, Russian, bottle, cocktail, clear, crisp"
claude-3-sonnet-20240229,"Smooth, crisp, iconic, Russian, mixable, party, bar, night-out, popular, classic."
grok-beta,"ice, crystal, clear, smooth, lemon, lime, bottle, Russia, party, chilled"
llama-v3p1-70b-instruct,"Russia, Moscow, Vodka, Party, Nightlife, Cocktails, Lime, Chilled, Triple, Distilled"
gpt-4o-mini,"vodka, alcohol, spirits, cocktails, mixer, smooth, citrus, party, Russia, brand"
gemini-1.5-flash,"Vodka, Russia, Smirnoff, Ice, Cocktails, Clear, Smooth, Party, Celebration, Alcohol"
claude-3-sonnet-20240229,"Vodka, Russia, clear, alcohol, party, mixers, shots, premium, iconic, Moscow."
grok-beta,"alcohol, party, cocktail, Russia, clear, ice, lemon, lime, mixer, shot"
llama-v3p1-70b-instruct,"Russia, Moscow, Mule, Cocktail, Martini, Vodka, Party, Spirits, Liquor, Ice"
gpt-4o-mini,"Vodka, Russia, Distillation, Cocktails, Clear, Smooth, Ice, Party, Mixer, Popular"
gemini-1.5-flash,"Smirnoff, vodka, Russian, classic, clean, smooth, party, celebration, cocktail, iconic"
claude-3-sonnet-20240229,"Vodka, Russia, party, cocktails, iconic, smooth, premium, night-out, popular, classic."
grok-beta,"Smirnoff, Vodka, Ice, Drink, Alcohol, Party, Cocktail, Clear, Lime, Twist"
llama-v3p1-70b-instruct,"Russia, Moscow, Ice, Lemon, Lime, Cosmopolitan, Martini, Party, Nightlife, Cocktails"
gpt-4o-mini,"vodka, Russia, cocktails, ice, party, smooth, distilled, drink, flavored, premium"
gemini-1.5-flash,"Ice, vodka, bottle, party, cocktail, smooth, classic, Russian, clear, lemon"
claude-3-sonnet-20240229,"Vodka, Russia, party, cocktails, clear, premium, iconic, smooth, distilled, mixers."
grok-beta,"Smirnoff, Vodka, Drink, Alcohol, Mixer, Cocktail, Clear, Refreshing, Party, Russia"
llama-v3p1-70b-instruct,"Russia, vodka, spirit, alcohol, drink, cocktail, party, nightclub, lime, ice"
gpt-4o-mini,"vodka, cocktails, party, ice, smooth, mixology, Russia, celebrations, premium, drinks"
gemini-1.5-flash,"Cold, smooth, crisp, vodka, clear, classic, cocktail, party, Russian, iconic"
claude-3-sonnet-20240229,"Vodka, Russia, premium, iconic, clear, distilled, party, mixer, martini, advertising."
grok-beta,"alcohol, vodka, Russia, lime, cocktail, party, ice, mixer, clear, shot"
llama-v3p1-70b-instruct,"Russia, Ice, Vodka, Party, Cocktail, Lime, Shot, Bottle, Cold, Moscow"
gpt-4o-mini,"vodka, distilled, drink, party, mixology, cocktails, ice, smooth, brand, festive"
gemini-1.5-flash,"Smooth, icy, classic, Russian, silver, party, vodka, cocktail, refreshing, crisp"
claude-3-sonnet-20240229,"Vodka, Russia, iconic, classic, strength, purity, ice, celebration, mixers, nightlife."
grok-beta,"Smirnoff, vodka, Russia, drink, alcohol, cocktail, lime, clear, party, bottle"
llama-v3p1-70b-instruct,"Russia, party, martini, vodka, cocktail, shot, ice, citrus, lime, nightlife"
gpt-4o-mini,"Vodka, Russia, Ice, Cocktails, Party, Mixers, Clear, Premium, Crisp, Distillation"
gemini-1.5-flash,"Smirnoff, vodka, ice, cocktail, party, classic, smooth, clean, refreshing, Russian"
claude-3-sonnet-20240229,"Vodka, Russia, clear, party, mixer, ice, shot, hangover, bottle, potent."
grok-beta,"smirnoff, vodka, russia, drink, clear, alcohol, cocktail, mixer, shot, party"
llama-v3p1-70b-instruct,"Russia, Moscow, Ice, Cold, Party, Cocktails, Vodka, Spirits, Lime, Triple"
gpt-4o-mini,"vodka, drink, party, mixed, chill, ice, clear, smooth, celebrate, nightlife"
gemini-1.5-flash,"Vodka, Russia, Smirnoff, Ice, Cocktail, Party, Clean, Smooth, Classic, Premium"
claude-3-sonnet-20240229,"Smirnoff, vodka, Russia, party, cocktails, clear, nights, Moscow Mule, shots, mixers."
grok-beta,"Smirnoff, Vodka, Russia, Lemon, Ice, Mule, Citrus, Bar, Cocktail, Smooth"
llama-v3p1-70b-instruct,"Vodka, Russia, Ice, Lemon, Lime, Cocktails, Party, Shots, Pure, Citrus"
gpt-4o-mini,"Vodka, Russia, Distilled, Clear, Ice, Cocktails, Party, Mixer, Premium, Smooth"
gemini-1.5-flash,"Smirnoff, vodka, Russia, classic, smooth, refreshing, ice, cocktail, party, celebration"
claude-3-sonnet-20240229,"Russia, alcohol, party, clear, bottle, distilled, grain, iconic, cocktails, smoothness."
grok-beta,"vodka, clear, crisp, lime, twist, party, mixer, smooth, classic, cocktail"
llama-v3p1-70b-instruct,"Russia, party, nightclub, cocktail, drink, liquor, ice, chilled, martini, vodka"
gpt-4o-mini,"vodka, drink, party, ice, cocktail, smooth, brand, Russia, mixers, nightlife"
gemini-1.5-flash,"Ice, vodka, Russia, smooth, clear, party, cocktail, classic, premium, alcohol"
claude-3-sonnet-20240229,"Vodka, Russia, premium, parties, cocktails, iconic, bottles, mixers, celebration, nightlife."
grok-beta,"alcohol, clear, russian, cocktail, ice, martini, party, lime, shot, mixer"
llama-v3p1-70b-instruct,"Vodka, Russia, Moscow, Ice, Lemon, Lime, Cosmopolitan, Martini, Cocktails, Party"
gpt-4o-mini,"vodka, spirits, cocktail, Russia, distilled, smooth, ice, party, brand, mix"
gemini-1.5-flash,"Ice, vodka, party, smooth, clear, classic, cocktail, Russia, lime, lemon"
claude-3-sonnet-20240229,"Russia, clear, bottle, alcohol, party, mixer, famous, distilled, Moscow, Cyrillic."
grok-beta,"liquor, clear, Russian, ice, lemon, martini, twist, pure, crisp, celebration"
llama-v3p1-70b-instruct,"Vodka, Russia, Moscow, Martini, Cocktail, Party, Ice, Lemon, Lime, Alcohol"
gpt-4o-mini,"vodka, distilled, beverage, spirits, cocktail, mixer, ice, drink, nightlife, branding"
gemini-1.5-flash,"Vodka, smooth, classic, Russian, clear, ice, cocktail, party, iconic, premium"
claude-3-sonnet-20240229,"Vodka, Russia, iconic, party, mixer, martini, premium, distilled, potent, bottle."
grok-beta,"alcohol, cocktail, clear, spirit, bottle, Russia, ice, mixer, shot, party"
