model,response
claude-3-sonnet-20240229,"Youthful, social, stylish, fun-loving, trendy, urban, casual, confident, outgoing, carefree."
grok-beta,"Outgoing, adventurous, vibrant, social, youthful, fun-loving, easygoing, bold, stylish, confident"
llama-v3p1-70b-instruct,"Sophisticated, urban, modern, trendy, young, affluent, outgoing, social, fashionable, cosmopolitan"
gpt-4o-mini,"Sociable, adventurous, vibrant, fun-loving, outgoing, trendy, energetic, spontaneous, stylish, youthful"
gemini-1.5-flash,"Social, outgoing, confident, fun-loving, sophisticated, stylish, trendy, adventurous, independent, carefree."
claude-3-sonnet-20240229,"Carefree, social, fun-loving, trendy, confident, young, outgoing, impulsive, adventurous, casual."
grok-beta,"confident, sophisticated, youthful, energetic, playful, outgoing, fun-loving, adventurous, stylish, social"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, modern, outgoing, social, confident, adventurous, carefree, trendy"
gpt-4o-mini,"Sociable, adventurous, fun-loving, energetic, carefree, trendy, outgoing, youthful, fashionable, spirited"
gemini-1.5-flash,"Social,  fun-loving,  outgoing,  energetic,  confident,  stylish,  trendy,  sophisticated,  independent,  adventurous"
claude-3-sonnet-20240229,"Youthful, carefree, trendy, social, party-loving, adventurous, stylish, hip, outgoing, fun-seeking."
grok-beta,"sophisticated, fun-loving, social, spontaneous, adventurous, open-minded, stylish, energetic, youthful, confident"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, social, carefree, adventurous, outgoing, trendy, modern, cosmopolitan"
gpt-4o-mini,"Social, adventurous, fun-loving, trendy, carefree, energetic, outgoing, youthful, bold, relaxed"
gemini-1.5-flash,"Social, outgoing, fun-loving, trendy, sophisticated, confident, stylish, independent, adventurous, witty."
claude-3-sonnet-20240229,"Youthful, carefree, sociable, trendy, fun-loving, impulsive, casual, adventurous, lively, modern."
grok-beta,"fun-loving, social, vibrant, carefree, adventurous, young, bold, stylish, energetic, confident"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, social, adventurous, trendy, affluent, confident, outgoing, cosmopolitan"
gpt-4o-mini,"Sociable, trendy, adventurous, fun-loving, vibrant, confident, youthful, outgoing, spirited, energetic"
gemini-1.5-flash,"Fun, outgoing, social, trendy, confident, sophisticated, cool, adventurous, stylish, energetic"
claude-3-sonnet-20240229,"Youthful, carefree, sociable, trendy, fun-loving, adventurous, outgoing, stylish, energetic, casual."
grok-beta,"young, energetic, social, adventurous, lively, sophisticated, bold, stylish, fun-loving, cosmopolitan"
llama-v3p1-70b-instruct,"Sophisticated, urban, young, trendy, outgoing, adventurous, confident, social, carefree, cosmopolitan"
gpt-4o-mini,"Social, adventurous, youthful, fun-loving, energetic, trendy, carefree, laid-back, spontaneous, stylish"
gemini-1.5-flash,"Young, carefree, outgoing, social, trendy, fun-loving, stylish, vibrant, energetic, popular"
claude-3-sonnet-20240229,"Stylish, trendy, sociable, carefree, adventurous, confident, urban, sophisticated, fun-loving, youthful."
grok-beta,"vibrant, social, playful, adventurous, casual, fun-loving, trendy, spontaneous, lighthearted, confident"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, trendy, outgoing, adventurous, confident, fashionable, modern, affluent"
gpt-4o-mini,"Sociable, adventurous, fun-loving, energetic, outgoing, trendy, youthful, carefree, vibrant, spirited"
gemini-1.5-flash,"Social, outgoing, trendy, fun-loving, confident, playful, sophisticated, stylish, adventurous, independent."
claude-3-sonnet-20240229,"Trendy, young, outgoing, sociable, fun-loving, stylish, urban, carefree, adventurous, spontaneous."
grok-beta,"vibrant, social, adventurous, fun-loving, casual, confident, energetic, youthful, outgoing, stylish"
llama-v3p1-70b-instruct,"Sophisticated, modern, urban, young, trendy, outgoing, social, adventurous, carefree, cosmopolitan"
gpt-4o-mini,"Sociable, adventurous, trendy, confident, youthful, fun-loving, outgoing, laid-back, spirited, diverse"
gemini-1.5-flash,"Social, outgoing, fun-loving, trendy, stylish, confident, sophisticated, adventurous, playful, energetic"
claude-3-sonnet-20240229,"Youthful, carefree, social, trendy, fun-loving, casual, energetic, adventurous, urban, outgoing."
grok-beta,"sociable, outgoing, confident, trendy, youthful, adventurous, fun-loving, relaxed, spontaneous, cosmopolitan"
llama-v3p1-70b-instruct,"Sophisticated, urban, trendy, youthful, adventurous, outgoing, confident, spontaneous, carefree, sociable"
gpt-4o-mini,"Sociable, adventurous, fun-loving, stylish, outgoing, playful, trendy, youthful, relaxed, spirited"
gemini-1.5-flash,"Social, confident, fun-loving, outgoing, sophisticated, stylish, trendy, energetic, adventurous, playful"
claude-3-sonnet-20240229,"Confident, carefree, sociable, trendy, adventurous, stylish, youthful, sophisticated, fun-loving, urban."
grok-beta,"young, adventurous, trendy, social, fun-loving, confident, diverse, energetic, relaxed, celebratory"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, social, outgoing, carefree, spontaneous, trendy, adventurous, glamorous"
gpt-4o-mini,"Trendy, sociable, adventurous, youthful, fun-loving, carefree, stylish, outgoing, energetic, spontaneous"
gemini-1.5-flash,"Fun, social, confident, outgoing, trendy, cool, sophisticated, adventurous, bold, lively"
claude-3-sonnet-20240229,"Trendy, fashionable, sociable, youthful, carefree, urban, fun-loving, adventurous, modern, contemporary."
grok-beta,"young, energetic, social, adventurous, fun-loving, confident, modern, open-minded, lively, spontaneous"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, fashionable, social, outgoing, adventurous, confident, lively, reckless"
gpt-4o-mini,"Fun, adventurous, social, energetic, trendy, outgoing, stylish, casual, young, expressive"
gemini-1.5-flash,"Social, outgoing, fun-loving, confident, stylish, sophisticated, trendy, adventurous, energetic, carefree"
claude-3-sonnet-20240229,"Confident, sociable, trendy, impulsive, carefree, adventurous, fashionable, extroverted, fun-loving, youthful."
grok-beta,"adventurous, sociable, relaxed, fun-loving, energetic, bold, open-minded, youthful, vibrant, trendy"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, trendy, social, outgoing, carefree, adventurous, modern, cosmopolitan"
gpt-4o-mini,"Sociable, adventurous, fun-loving, spontaneous, stylish, outgoing, youthful, lively, carefree, modern"
gemini-1.5-flash,"Social, outgoing, fun-loving, energetic, trendy, stylish, confident, sophisticated, playful, adventurous"
claude-3-sonnet-20240229,"Trendy, hip, sociable, fun-loving, carefree, stylish, adventurous, urban, bold, indulgent."
grok-beta,"carefree, social, relaxed, fun-loving, young, adventurous, outgoing, confident, experimental, vibrant"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, modern, outgoing, social, adventurous, confident, fashionable, cosmopolitan"
gpt-4o-mini,"Social, fun-loving, adventurous, young, carefree, trendy, outgoing, vibrant, lively, inclusive"
gemini-1.5-flash,"Social, outgoing, confident, fun-loving, trendy, stylish,  sophisticated,  independent,  energetic,  ambitious"
claude-3-sonnet-20240229,"Youthful, trendy, sociable, adventurous, carefree, fun-loving, urban, stylish, outgoing, energetic."
grok-beta,"vibrant, sociable, adventurous, stylish, confident, upbeat, sophisticated, carefree, youthful, lively"
llama-v3p1-70b-instruct,"Social, outgoing, youthful, adventurous, sophisticated, trendy, urban, confident, spontaneous, carefree"
gpt-4o-mini,"Sociable, adventurous, trendy, fun-loving, carefree, outgoing, bold, playful, youthful, lively"
gemini-1.5-flash,"Sophisticated, outgoing, confident, social, fun-loving, stylish, trendy, adventurous,  energetic,  bold"
claude-3-sonnet-20240229,"Youthful, stylish, trendy, sociable, adventurous, carefree, urban, fun-loving, modern, lively."
grok-beta,"outgoing, sociable, trendy, lively, youthful, confident, uninhibited, adventurous, cheerful, spontaneous"
llama-v3p1-70b-instruct,"Young, urban, social, trendy, carefree, adventurous, outgoing, confident, stylish, sophisticated"
gpt-4o-mini,"Social, adventurous, youthful, trendy, outgoing, fun-loving, bold, vibrant, confident, lively"
gemini-1.5-flash,"Fun, social, outgoing, confident, trendy, sophisticated, stylish, cool, adventurous, witty."
claude-3-sonnet-20240229,"Youthful, carefree, social, trendy, fun-loving, stylish, energetic, adventurous, confident, sophisticated."
grok-beta,"vibrant, adventurous, social, casual, spontaneous, outgoing, energetic, fun-loving, stylish, confident"
llama-v3p1-70b-instruct,"Social, outgoing, adventurous, young, urban, carefree, spontaneous, confident, sophisticated, cosmopolitan"
gpt-4o-mini,"Sociable, adventurous, trendy, fun-loving, youthful, carefree, energetic, stylish, spontaneous, outgoing"
gemini-1.5-flash,"Social, outgoing, fun-loving, friendly, stylish, sophisticated, confident, adventurous, trendy, spirited."
claude-3-sonnet-20240229,"Trendy, fashionable, sociable, urban, young, fun-loving, extraverted, stylish, adventurous, carefree."
grok-beta,"Sophisticated, confident, adventurous, sociable, young, vibrant, trendy, bold, festive, cosmopolitan"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, fashionable, social, outgoing, carefree, spontaneous, adventurous, cosmopolitan"
gpt-4o-mini,"Sociable, adventurous, fun-loving, trendy, outgoing, young, spirited, carefree, vibrant, energetic"
gemini-1.5-flash,"Social, outgoing, confident, fun-loving, trendy, stylish, sophisticated, adventurous, playful, independent"
claude-3-sonnet-20240229,"Trendy, fashionable, sociable, young, urban, fun-loving, stylish, carefree, outgoing, adventurous."
grok-beta,"sophisticated, modern, fun, confident, social, adventurous, charismatic, eclectic, stylish, lively"
llama-v3p1-70b-instruct,"Young, urban, trendy, social, outgoing, confident, adventurous, carefree, sophisticated, glamorous"
gpt-4o-mini,"Sociable, adventurous, trendy, fun-loving, outgoing, bold, energetic, youthful, relaxed, spirited"
gemini-1.5-flash,"Fun, outgoing, trendy, sophisticated, cool, social, energetic, playful, confident, adventurous."
claude-3-sonnet-20240229,"Youthful, trendy, social, fun-loving, carefree, adventurous, urban, hip, modern, stylish."
grok-beta,"fun-loving, youthful, sophisticated, adventurous, social, stylish, confident, carefree, bold, lively"
llama-v3p1-70b-instruct,"Sophisticated, urban, young, adventurous, social, outgoing, carefree, trendy, cosmopolitan, lively"
gpt-4o-mini,"Sociable, adventurous, youthful, fun-loving, trendy, outgoing, playful, energetic, confident, carefree"
gemini-1.5-flash,"Social, outgoing, fun-loving, trendy, confident, stylish, sophisticated, adventurous, playful, cool"
claude-3-sonnet-20240229,"Youthful, trendy, social, outgoing, energetic, urban, fun-loving, carefree, stylish, adventurous."
grok-beta,"vibrant, social, fun-loving, adventurous, young, spontaneous, lively, outgoing, trendy, confident"
llama-v3p1-70b-instruct,"Young, urban, sophisticated, trendy, outgoing, adventurous, spontaneous, confident, social, cosmopolitan"
gpt-4o-mini,"Fun-loving, social, adventurous, outgoing, energetic, trendy, lively, carefree, fashionable, bold"
gemini-1.5-flash,"Social, outgoing, confident, fun-loving, trendy, stylish, sophisticated, adventurous, independent, cool"
claude-3-sonnet-20240229,"Sociable, fun-loving, trendy, young, outgoing, carefree, fashionable, adventurous, confident, nightlife-oriented."
grok-beta,"sociable, adventurous, youthful, fun-loving, trendy, confident, outgoing, playful, energetic, spontaneous"
llama-v3p1-70b-instruct,"Young, urban, social, outgoing, adventurous, confident, carefree, spontaneous, lively, hedonistic"
gpt-4o-mini,"Sociable, adventurous, lively, fun-loving, trendy, carefree, confident, outgoing, youthful, expressive"
gemini-1.5-flash,"Social, outgoing, fun-loving, adventurous, confident, stylish, trendy, sophisticated, charming, vibrant."
claude-3-sonnet-20240229,"Young, stylish, trendy, outgoing, sociable, fun-loving, adventurous, modern, urban, carefree."
grok-beta,"sophisticated, social, fun-loving, adventurous, modern, lively, confident, outgoing, fashionable, relaxed"
llama-v3p1-70b-instruct,"Young, urban, social, outgoing, carefree, spontaneous, adventurous, fashionable, confident, sophisticated"
gpt-4o-mini,"Social, adventurous, fun-loving, trendy, energetic, carefree, youthful, outgoing, vibrant, open-minded"
gemini-1.5-flash,"Social, outgoing, fun-loving, trendy, confident, sophisticated, stylish, witty, playful, adventurous."
claude-3-sonnet-20240229,"Youthful, trendy, social, fun-loving, carefree, stylish, lively, urban, hip, modern."
grok-beta,"vibrant, sociable, lively, adventurous, fun-loving, stylish, outgoing, confident, charismatic, spirited"
llama-v3p1-70b-instruct,"Sociable, outgoing, carefree, adventurous, youthful, vibrant, energetic, spontaneous, sophisticated, cosmopolitan"
gpt-4o-mini,"Fun-loving, adventurous, sociable, trendy, stylish, youthful, energetic, outgoing, lively, carefree"
gemini-1.5-flash,"Fun, outgoing, social, cool, trendy, confident, stylish, sophisticated, adventurous, energetic."
claude-3-sonnet-20240229,"Trendy, young, social, stylish, fun-loving, adventurous, urban, carefree, modern, sophisticated."
grok-beta,"social, outgoing, fashionable, fun-loving, adventurous, young, hip, confident, spontaneous, vibrant"
