model,response
gpt-4o-mini,"Texas, distillery, corn, gluten-free, craft, smooth, American, cocktail, quality, innovation"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, quality, classic, cocktail,  Moscow Mule,  Texas"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, gluten-free, corn-based, American-made, potatoes, distillery, microdistillery, Austin"
grok-beta,"Tito, vodka, Texas, smooth, handmade, corn, craft, distillery, USA, Austin"
llama-v3p1-70b-instruct,"Handmade, gluten-free, vodka, Texas, USA, distillery, craft, spirits, premium, cocktails"
gpt-4o-mini,"Texas, corn, distillation, smooth, craft, premium, handmade, gluten-free, versatile, cocktails"
gemini-1.5-flash,"Smooth, clean, vodka, premium, Tito, Texas, distillery, craft, quality, iconic"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, Texas, corn, microdistillery, craft, martini, rocks."
grok-beta,"Tito's, vodka, smooth, handcrafted, Texas, corn, distillation, artisan, alcohol, mixers"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Smooth, Glutenfree, Austin, Cocktail, Premium, Distilled"
gpt-4o-mini,"Texas, handcrafted, corn, gluten-free, smooth, quality, distillery, craft, mixology, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, citrus, grapefruit, cucumber, Moscow, mule, cocktail"
claude-3-sonnet-20240229,"Smooth, premium, gluten-free, corn-based, Texas, handmade, pot-stilled, micro-distilled, award-winning, mixable."
grok-beta,"Tito's, vodka, smooth, Texas, handcrafted, distillery, corn, gluten-free, spirits, artisanal"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Gluten-free, Potato, Distilled, Craft, Smooth, Quality"
gpt-4o-mini,"smooth, distilled, craft, Texas, corn, premium, gluten-free, award-winning, quality, refreshing"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, Moscow Mule,  quality,  premium,  craft"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, Austin, Texan, gluten-free, microdistillery, award-winning, iconic."
grok-beta,"Tito's, vodka, smooth, clean, Texas, handcrafted, corn, American, distillation, artisan"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Gluten-free, Corn, Smooth, Austin, American, Small-batch, Premium"
gpt-4o-mini,"Texas, distillery, smooth, corn, craft, vodka, gluten-free, award-winning, mixology, handmade"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, premium, classic, affordable, cocktails, simple"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texas, iconic, affordable, popular, award-winning, gluten-free."
grok-beta,"Tito's, vodka, smooth, Texas, handmade, corn, distillation, clear, affordable, authentic"
llama-v3p1-70b-instruct,"Handmade, Texas, Austin, Glutenfree, Craft, Potato, Distilled, Vodka, Smooth, Party"
gpt-4o-mini,"Texas, craft, distillery, corn, smooth, gluten-free, spirits, mixology, quality, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, cocktail, premium, quality, spirit, classic, versatile"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texan, craft, micro-distilled, gluten-free, mixable."
grok-beta,"Tito, vodka, distillery, Austin, Texas, smooth, corn, gluten-free, craft, artisan"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Vodka, Gluten-free, Smooth, Austin, Distilled, Small-batch, American"
gpt-4o-mini,"craft, premium, Texas, vodka, distillery, smooth, corn, handmade, versatile, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, grapefruit, cucumber, Moscow Mule, cocktail, party"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, gluten-free, microdistillery, craft, award-winning."
grok-beta,"Tito's, vodka, smooth, clear, Texas, craft, corn, distilled, mixer, cocktail"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Distilled, Glutenfree, Smooth, Austin, America, Premium, Corn"
gpt-4o-mini,"distilled, Texas, gluten-free, handcrafted, vodka, smooth, crisp, award-winning, craft, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, vodka,  quality,  premium,  luxury,  cocktails,  craft,  American"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, potatoes, gluten-free, craft, distillery, drink, cocktails."
grok-beta,"Tito, vodka, distillery, Texas, craft, smooth, corn, gluten-free, bottle, liquor"
llama-v3p1-70b-instruct,"Vodka, Texas, Craft, Handmade, Gluten-free, Corn, Smooth, Austin, Party, Cocktails"
gpt-4o-mini,"Texas, vodka, distilled, corn, craft, smooth, clear, premium, award-winning, gluten-free"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, grapefruit, Moscow, mule, cocktail, quality, affordable"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, Austin, Texas, micro-distilled, gluten-free, award-winning, bartender-approved."
grok-beta,"Tito's, vodka, smooth, crisp, clean, classic, corn, distillation, handcrafted, Texas"
llama-v3p1-70b-instruct,"Handmade, Texas, Glutenfree, Craft, Vodka, Distilled, Corn, Austin, Smooth, Party"
gpt-4o-mini,"Texas, craft, vodka, smooth, gluten-free, party, distilled, spirits, quality, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, high-quality, premium, affordable, versatile, cocktails, party"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, Texas, handmade, craft, party, martini, cocktails."
grok-beta,"Tito's, vodka, smooth, Texas, handmade, corn, distillation, neutral, spirit, craft"
llama-v3p1-70b-instruct,"Handmade, Texas, Glutenfree, Craft, Vodka, Smooth, Corn, Distilled, Awardwinning, Party"
gpt-4o-mini,"Texas, craft, vodka, distillery, smooth, gluten-free, citrus, cocktails, purity, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, neutral, premium, quality, classic, affordable, versatile"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, vodka, distillery, gluten-free, micro-batch."
grok-beta,"Tito, vodka, Texas, corn, distillation, craft, quality, smooth, clear, neutral"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Gluten-free, Distilled, Smooth, Versatile, Mixology, Premium, Austin"
gpt-4o-mini,"Texas, handmade, distilled, smooth, gluten-free, craft, vodka, premium, clear, quality"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, Moscow mule, grapefruit, lime, citrusy"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, gluten-free, corn-based, Austin, Texas, microdistillery, affordability, mixability."
grok-beta,"Tito's, vodka, Texas, smooth, corn, distilled, handcrafted, gluten-free, American, cocktail"
llama-v3p1-70b-instruct,"Vodka, Handmade, Texas, Craft, Smooth, Glutenfree, Party, Cocktail, Austin, Hangover"
gpt-4o-mini,"craft, Texas, gluten-free, distillation, smooth, vodka, citrus, cocktails, mixology, party"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, quality, premium, classic, vodka, cocktail"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, handmade, gluten-free, distilled, craftsmanship, quality, mixology."
grok-beta,"Tito, vodka, Texas, smooth, craft, distillery, handmade, corn, gluten-free, mixer-friendly"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Gluten-free, Austin, Craft, Distilled, Small-batch, Pot-distilled, Handcrafted"
gpt-4o-mini,"distilled, smooth, American, gluten-free, craft, premium, vodka, Texas, quality, spirit"
gemini-1.5-flash,"Smooth, clean, refreshing, vodka, cocktail, premium, high-quality, craft, Texas, distillery"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, potatoes, gluten-free, microdistillery, craft, award-winning, Texas."
grok-beta,"Tito's, vodka, distillery, Texas, corn, smooth, handcrafted, spirit, cocktail, bottle"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Distillery, Austin, Gluten-free, Smooth, Corn, Spirits"
gpt-4o-mini,"Tito's, vodka, Texas, craft, distillery, corn, smooth, gluten-free, cocktails, distilled"
gemini-1.5-flash,"Smooth, clean, refreshing, citrus, vodka, quality, premium, cocktails, craft, handmade"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, micro-distilled, gluten-free, mixable, award-winning."
grok-beta,"Tito, Texas, vodka, handmade, smooth, clear, corn, craft, distillery, bottle"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Vodka, Gluten-free, Smooth, Austin, Distilled, Small-batch, Authentic"
gpt-4o-mini,"craft, Texas, distillery, smooth, corn, gluten-free, handmade, premium, vodka, awards"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, quality, premium, modern, classic, sophisticated"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, Texas, handmade, gluten-free, microdistillery, craft, potatoes."
grok-beta,"Tito's, vodka, smooth, clear, handcrafted, Texas, corn, distilled, artisan, alcohol"
llama-v3p1-70b-instruct,"Texas, handmade, gluten-free, potato, vodka, Austin, distillery, craft, premium, smooth"
gpt-4o-mini,"Texas, craft, distilled, smooth, gluten-free, premium, vodka, party, mixer, cocktails"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, grapefruit, cucumber, Moscow, mule, cocktail, quality"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, handmade, Austin, craft, distillery, gluten-free, award-winning, mixable."
grok-beta,"vodka, smooth, clear, lime, mixer, refreshing, distilled, cocktail, party, sip"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Gluten-free, Austin, Craft, Premium, Distilled, Corn, Smooth"
gpt-4o-mini,"Texas, distillery, craft, corn, vodka, smooth, gluten-free, cocktails, premium, cheers"
gemini-1.5-flash,"Smooth, crisp, clean, refreshing, vodka, cocktails, party, celebration, quality, premium"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, handmade, Austin, Texas, gluten-free, microdistillery, craft, award-winning."
grok-beta,"Tito, smooth, vodka, Texas, potato, distillery, craft, cocktail, clean, award-winning"
llama-v3p1-70b-instruct,"Austin, Texas, handmade, vodka, gluten-free, corn, smooth, cocktails, craft, distillery"
gpt-4o-mini,"Distilled, American, Craft, Gluten-free, Smooth, Potatoes, Handmade, Vodka, Texas, Spirit"
gemini-1.5-flash,"Smooth, crisp, clean, refreshing, vodka, cocktail, quality, premium, sophisticated, affordable"
claude-3-sonnet-20240229,"Smooth, premium, craft, corn-based, Austin, handmade, small-batch, gluten-free, martini, cocktails."
grok-beta,"smooth, clean, citrus, grain, neutral, classic, American, ice, cocktail, distillery"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Gluten-free, Distilled, Austin, Smooth, Craft, Cocktail, Party"
gpt-4o-mini,"Texas, distillery, craft, smooth, corn, premium, gluten-free, quality, fun, cocktails"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktails, party, premium, quality, affordable"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, handmade, gluten-free, microdistillery, craft, award-winning, Texas"
grok-beta,"Tito, Texas, smooth, vodka, artisanal, handcrafted, bottle, alcohol, distillation, corn"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Distilled, Glutenfree, Smooth, Pure, Premium, Party"
gpt-4o-mini,"vodka, craft, Texas, gluten-free, distillery, smooth, purity, American, award-winning, spirit"
gemini-1.5-flash,"Smooth, crisp, clean, vodka, Texas, distillery, premium, handcrafted, versatile, cocktails"
claude-3-sonnet-20240229,"Smooth, handcrafted, corn-based, Austin, Texas, micro-distillery, gluten-free, affordable, award-winning, mixer"
grok-beta,"Tito, Texas, smooth, vodka, handcrafted, corn, distillation, craft, spirit, bottle"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Craft, Handmade, Gluten-free, Corn, Smooth, Premium, Distilled"
gpt-4o-mini,"craft, distillation, smooth, Texas, corn, gluten-free, mixology, premium, clean, versatile"
gemini-1.5-flash,"Smooth, clean, refreshing, citrus, vodka, cocktail, quality, premium, handcrafted, Texas"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, gluten-free, microdistillery, vodka, mixer."
grok-beta,"Tito, vodka, distillery, smooth, Texas, corn, craft, alcohol, party, cocktail"
llama-v3p1-70b-instruct,"Vodka, Handmade, Texas, Craft, Glutenfree, Corn, Smooth, Premium, Distilled, Austin"
gpt-4o-mini,"Texas, distillery, vodka, craft, smooth, premium, corn, gluten-free, mixology, quality"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, high-quality, affordable, versatile, cocktail, Moscow Mule, party"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, distillery, martini, versatile, affordable."
grok-beta,"distillation, smooth, clear, flavor, party, mixer, cocktail, shot, popularity, quality"
llama-v3p1-70b-instruct,"Austin, Texas, Handmade, Craft, Vodka, Smooth, Potato, Gluten, Free, America"
gpt-4o-mini,"Texas, craft, distillery, gluten-free, smooth, vodka, premium, quality, cocktail, mixology"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, quality, vodka, cocktail, citrus, grapefruit, Moscow Mule"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, gluten-free, Austin, Texas, distillery, classic, bartenders"
grok-beta,"Tito, vodka, distillery, Texas, smooth, corn, craft, artisan, alcohol, mixology"
llama-v3p1-70b-instruct,"Texas, Handmade, Craft, Gluten-free, Potato, Distilled, Austin, USA, Smooth, Premium"
gpt-4o-mini,"Texas, distilled, corn, smooth, craft, premium, cocktails, quality, gluten-free, vodka"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, premium, handcrafted, Texas, distillery"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, Texas, handmade, gluten-free, microdistillery, craft, nightlife."
grok-beta,"Tito's, vodka, smooth, Texas, handcrafted, distillation, corn, artisanal, mixer, spirit"
llama-v3p1-70b-instruct,"Texas, vodka, handcrafted, gluten-free, Austin, Texas, crafted, distilled, vodka, premium"
gpt-4o-mini,"Texas, craft, distillery, gluten-free, smooth, quality, premium, vodka, party, artisan"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, sophisticated, premium, vodka, cocktail, quality"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, Austin, micro-distilled, craft, gluten-free, mixable."
grok-beta,"Tito, Texas, smooth, vodka, handmade, craft, distillery, lime, cocktail, copper-pot"
llama-v3p1-70b-instruct,"Texas, handmade, vodka, gluten-free, craft, distillery, Austin, smooth, citrus, mixer"
gpt-4o-mini,"Texas, vodka, distillery, craft, smooth, gluten-free, spirit, mixology, premium, handmade"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, grapefruit, Moscow, mule, cocktail, party"
claude-3-sonnet-20240229,"Smooth, crisp, premium, gluten-free, corn-based, Austin, handmade, micro-distillery, craft, Texas."
grok-beta,"Tito, vodka, smooth, Texas, handmade, craft, clear, cocktail, distillery, Austin"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Gluten-free, Craft, Distilled, Austin, Smooth, Party, Cocktail"
gpt-4o-mini,"Texas, craft, distilled, smooth, premium, cocktails, gluten-free, artisan, quality, vodka"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, quality, affordable, cocktail, classic, versatile"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, micro-distilled, small-batch, gluten-free, mixable, cocktails."
grok-beta,"vodka, smooth, Tito, Texas, handmade, corn, bottle, alcohol, clear, spirits"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Gluten-free, Potato, Vodka, Austin, Smooth, Distilled, Premium"
gpt-4o-mini,"Texas, distillery, craft, smooth, gluten-free, vodka, premium, sip, cocktails, artisanal"
gemini-1.5-flash,"Smooth, crisp, clean, vodka, premium, craft, Texas, distillery, cocktails, refreshing"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, gluten-free, micro-distilled, small-batch, craft."
grok-beta,"Tito, Texas, handmade, vodka, smooth, corn, distillation, craft, spirit, bottle"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Distilled, Gluten, Free, Corn, Smooth, Delicious"
gpt-4o-mini,"Craft, Texas, Distilled, Gluten-free, Smooth, Handmade, Vodka, Premium, Quality, Spirit"
gemini-1.5-flash,"Smooth, clean, crisp, classic, versatile, quality, premium, vodka, cocktail, Moscow Mule"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, gluten-free, corn-based, Austin, Texas, microdistillery, iconic, award-winning."
grok-beta,"Tito, Texas, smooth, vodka, handcrafted, corn, neutral, grain, spirits, Austin"
llama-v3p1-70b-instruct,"Handmade, Glutenfree, Texas, Austin, Craft, Smooth, Party, Cocktails, Martini, Vodka"
gpt-4o-mini,"Texas, distillery, gluten-free, craft, smooth, premium, vodka, distilled, corn, clear"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, quality, premium, Texas, distillery, handcrafted, iconic"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, handmade, Austin, Texas, distillery, iconic, cocktails, martinis."
grok-beta,"Tito, Texas, smooth, vodka, handcrafted, copper, pot-still, craft, moonshine, gluten-free"
llama-v3p1-70b-instruct,"Handmade, Texas, Austin, Craft, Gluten-free, Corn, Smooth, Distilled, Premium, American"
gpt-4o-mini,"distilled, Texas, craft, corn, smooth, gluten-free, vodka, spirit, premium, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, quality, premium, craft, Texas, distillery, cocktails"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, micro-distilled, gluten-free, craft, Austin, award-winning."
grok-beta,"Tito's, vodka, smooth, cocktail, lemon, lime, party, clean, spirits, Texas"
llama-v3p1-70b-instruct,"Austin, Texas, handmade, vodka, gluten-free, craft, distillery, Tito, Beveridge, cocktail"
gpt-4o-mini,"Texas, corn, distillery, craft, smooth, gluten-free, premium, cocktails, small-batch, award-winning"
gemini-1.5-flash,"Smooth, clean, vodka, cocktail, party, premium, quality, refreshing, citrus, spicy"
claude-3-sonnet-20240229,"Smooth, premium, gluten-free, corn-based, handmade, craft, Austin, Texas, microdistillery, affordable."
grok-beta,"Tito, handmade, Texas, smooth, corn, unflavored, vodka, distillery, craft, bottle"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, Craft, Vodka, Distillery, Gluten-free, Smooth, Party, Shots"
gpt-4o-mini,"craft, premium, smooth, distilled, American, gluten-free, quality, mixable, award-winning, artisanal"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, Moscow mule, grapefruit, summer, party"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, gluten-free, corn-based, Austin, Texas, potatoes, distillery, microdistillery."
grok-beta,"Tito's, vodka, corn, Texas, craft, smooth, distillery, handmade, authentic, affordable"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Gluten-free, Distilled, Austin, Corn, Smooth, Quality"
gpt-4o-mini,"Texas, distilled, corn, smooth, craft, premium, gluten-free, cocktail, celebration, purity"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, quality, Texas, craft, distillery, cocktails"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, micro-distillery, gluten-free, award-winning, Tito."
grok-beta,"Tito, vodka, craft, distillation, smooth, Texas, handmade, corn, American, cocktail"
llama-v3p1-70b-instruct,"Handmade, Texas, Vodka, Gluten-free, Corn, Smooth, Distilled, Austin, Craft, Premium"
gpt-4o-mini,"craft, quality, smooth, distillation, Texas, gluten-free, award-winning, vodka, premium, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, premium, quality, cocktail, spirit, versatile"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, handmade, Austin, Texas, micro-distilled, gluten-free, craft, affordable."
grok-beta,"Tito, vodka, distillery, Texas, handcrafted, smooth, corn, neutral, spirits, cocktail"
llama-v3p1-70b-instruct,"Austin, Texas, Handmade, Craft, Vodka, Distillery, Bert, Tito, Smooth, Glutenfree"
gpt-4o-mini,"Texas, distillery, craft, gluten-free, smooth, party, premium, mixology, cocktails, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, high-quality, premium, classic, versatile"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, iconic, micro-distillery, vodka, potatoes"
grok-beta,"Tito, vodka, handcrafted, smooth, Texas, corn, distillation, copper, pot still, cocktail"
llama-v3p1-70b-instruct,"Austin, Texas, Craft, Handmade, Gluten, Free, Distilled, Six, Times, Smooth"
gpt-4o-mini,"vodka, Texas, distillery, gluten-free, handmade, craft, vodka soda, smooth, mixology, cocktails"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, craft, artisanal, premium, neutral, affordable"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, distilled, gluten-free, potatoes, Austin, Texas, affordable, mixable."
grok-beta,"Tito, vodka, Texas, distillery, handcrafted, smooth, corn, American, clear, mixer-friendly"
llama-v3p1-70b-instruct,"Austin, Texas, handmade, vodka, gluten-free, 100% corn, smooth, craft, distillery, premium"
gpt-4o-mini,"craft, distillation, smooth, Texas, corn, gluten-free, quality, premium, mixology, cocktails"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, distillery, neutral, refreshing, quality, affordable"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, corn-based, gluten-free, micro-distilled, cocktails, mixers, craft"
grok-beta,"alcohol, clear, smooth, vodka, cocktail, party, mixer, Russia, clean, shot"
llama-v3p1-70b-instruct,"Handmade, Gluten-free, Texas, Craft, Vodka, Distilled, Austin, Quality, Smooth, Affordable"
gpt-4o-mini,"craft, Texas, gluten-free, premium, smooth, vodka, distilled, artisanal, clear, refreshing"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, quality, premium, vodka, cocktail, spirit, versatile"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, vodka, craft, Texas, gluten-free, handmade, distilled, potatoes."
grok-beta,"Tito, handmade, vodka, smooth, Texas, corn, distillery, craft, artisan, spirits"
llama-v3p1-70b-instruct,"Handmade, Texas, Austin, Gluten-free, Corn, Smooth, Party, Craft, American, Premium"
gpt-4o-mini,"Texas, craft, distillery, smooth, corn, gluten-free, vodka, cocktails, premium, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, potent, vodka, premium, cocktail, party, celebration"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, microdistillery, gluten-free, award-winning, craft."
grok-beta,"Tito, handcrafted, vodka, distillery, Austin, Texas, smooth, corn, gluten-free, cocktail"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Gluten-free, Corn, Smooth, Affordable, Party, College, Cocktails"
gpt-4o-mini,"Texas, vodka, craft, distilled, smooth, gluten-free, corn, flavor, handmade, premium"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, artisanal, distilled, corn, premium, quality"
claude-3-sonnet-20240229,"Smooth, premium, crafted, distilled, corn-based, Austin, Texas, handmade, small-batch, gluten-free."
grok-beta,"Tito, vodka, smooth, clean, Texas, handcrafted, distillation, corn, neutral, spirit"
llama-v3p1-70b-instruct,"Texas, Austin, Handmade, Craft, Glutenfree, Vodka, Spirits, Cocktails, Party, Texaspride"
gpt-4o-mini,"distilled, Texas, corn, craft, premium, gluten-free, smooth, mixology, cocktails, iconic"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, quality, craft, premium, vodka, Tito's"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, handmade, vodka, Texas, small-batch, distilled, gluten-free."
grok-beta,"vodka, Tito, Texas, smooth, handmade, distillation, corn, craft, artisan, neutral spirit"
llama-v3p1-70b-instruct,"Texas, vodka, gluten-free, handcrafted, Austin, small-batch, corn-based, smooth, premium, craft"
gpt-4o-mini,"Texas, vodka, craft, distilled, smooth, gluten-free, premium, quality, handmade, awards"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, premium, vodka, cocktail, quality, handcrafted"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, small-batch, gluten-free, distilled, award-winning, iconic."
grok-beta,"Tito's, vodka, handcrafted, smooth, Texas, distillery, corn, gluten-free, cocktail, award-winning"
llama-v3p1-70b-instruct,"Vodka, Handmade, Texas, Craft, Distilled, Smooth, Glutenfree, Cocktail, Party, Premium"
gpt-4o-mini,"Craft, distillation, Texas, gluten-free, smooth, purity, quality, sip, celebration, mixology"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, premium, handcrafted, vodka, cocktail, drink"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, micro-distillery, gluten-free, mixable, award-winning"
grok-beta,"Tito, handcrafted, smooth, vodka, Texas, corn, distillation, moonshine, affordable, quality"
llama-v3p1-70b-instruct,"Austin, Texas, Handmade, Craft, Vodka, Distilled, Gluten-free, Smooth, Pure, Quality"
gpt-4o-mini,"Texas, craft, smooth, gluten-free, distilled, premium, vodka, mixology, artisanal, celebration"
